"","title","release_date","title_clean","title_clean_match"
"54","Minions: The Rise Of Gru","2022-06-30","minions the rise of gru","minions the rise of gru"
"55","Last Seen Alive","2022-06-30","last seen alive","last seen alive"
"56","Thor: Love And Thunder","2022-07-07","thor love and thunder","thor love and thunder"
"57","Gray Man, The","2022-07-14","the gray man","the gray man"
"58","Black Site","2022-07-21","black site","black site"
"59","DC League of Super Pets","2022-07-28","dc league of super pets","dc league of super pets"
"60","American Siege","2022-07-28","american siege","american siege"
"61","Book of Love","2022-07-28","book of love","book of love"
"62","Bullet Train","2022-08-04","bullet train","bullet train"
"63","Men","2022-08-04","men","men"
"64","Easter Sunday","2022-08-04","easter sunday","easter sunday"
"65","Vigil, The","2022-08-11","the vigil","the vigil"
"66","Fortress: Sniper's Eye","2022-08-11","fortress snipers eye","fortress snipers eye"
"67","Nope","2022-08-18","nope","nope"
"68","Blacklight","2022-08-18","blacklight","blacklight"
"69","After Ever Happy (Event)","2022-08-24","after ever happy event","after ever happy event"
"70","Paradise Highway","2022-08-25","paradise highway","paradise highway"
"71","Beast","2022-09-01","beast","beast"
"72","Where The Crawdads Sing","2022-09-01","where the crawdads sing","where the crawdads sing"
"73","Ticket To Paradise","2022-09-15","ticket to paradise","ticket to paradise"
"74","Invitation, The","2022-09-15","the invitation","the invitation"
"75","Minamata","2022-09-15","minamata","minamata"
"76","Moonage Daydream","2022-09-15","moonage daydream","moonage daydream"
"77","Panama","2022-09-15","panama","panama"
"78","Effect of gamma rays on Man-in-the-Moon Marigolds, The (re 2017)","2022-09-15","effect of gamma rays on maninthemoon marigolds the re 2017","effect of gamma rays on maninthemoon marigolds the re 2017"
"79","Don't Worry Darling","2022-09-22","dont worry darling","dont worry darling"
"80","Smile (2022)","2022-09-29","smile","smile"
"81","Woman King, The","2022-10-05","the woman king","the woman king"
"82","Orphan: First Kill","2022-10-05","orphan first kill","orphan first kill"
"83","Halloween Ends","2022-10-13","halloween ends","halloween ends"
"84","Good House, The","2022-10-13","the good house","the good house"
"85","Black Adam","2022-10-20","black adam","black adam"
"86","Cinderella and the Little Sorcerer","2022-10-20","cinderella and the spellbinder","cinderella and the spellbinder"
"87","The Exorcism of God","2022-10-20","exorcismo de dios el","exorcismo de dios el"
"88","Lyle, Lyle, Crocodile","2022-10-27","lyle lyle crocodile","lyle lyle crocodile"
"89","Amsterdam","2022-10-27","amsterdam","amsterdam"
"90","Prey for the Devil","2022-10-27","prey for the devil","prey for the devil"
"91","Enforcer, The","2022-11-03","the enforcer","the enforcer"
"92","Fall","2022-11-03","fall","fall"
"93","Confess, Fletch","2022-11-03","confess fletch","confess fletch"
"94","Survive the Game","2022-11-03","survive the game","survive the game"
"95","Black Panther: Wakanda Forever","2022-11-10","black panther wakanda forever","black panther wakanda forever"
"96","She Said","2022-11-17","she said","she said"
"97","Cinderella And The Secret Prince","2022-11-17","cinderella and the secret prince","cinderella and the secret prince"
"98","Strange World","2022-11-24","strange world","strange world"
"99","Devotion","2022-11-24","devotion","devotion"
"100","Bros","2022-11-24","bros","bros"
"101","Guillermo del Toro's Pinocchio","2022-11-24","guillermo del toros pinocchio","guillermo del toros pinocchio"
"102","Menu, The","2022-12-01","the menu","the menu"
"103","Violent Night","2022-12-01","violent night","violent night"
"104","Poker Face","2022-12-01","poker face","poker face"
"105","Puss In Boots: The Last Wish","2022-12-08","puss in boots the last wish","puss in boots the last wish"
"106","White Noise","2022-12-08","white noise","white noise"
"107","Avatar: The Way of Water","2022-12-15","avatar the way of water","avatar the way of water"
"108","Fabelmans, The","2022-12-22","the fabelmans","the fabelmans"
"109","Whitney Houston: I Wanna Dance with Somebody","2022-12-22","whitney houston i wanna dance with somebody","whitney houston i wanna dance with somebody"
"110","Rock Dog 3 Battle the Beat","2022-12-22","rock dog 3 battle the beat","rock dog 3 battle the beat"
"111","Shotgun Wedding","2022-12-29","shotgun wedding","shotgun wedding"
"112","Bed Rest","2022-12-29","bed rest","bed rest"
